^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS2207
!dataset_title = Salicylic acid effect on leaves
!dataset_description = Analysis of leaves 2 hours after treatment with salicylic acid (SA) which induces systemic acquired resistance (SAR). SA-induced genes examined for the presence of neighboring putative binding sites for the transcription factor TGA2. Results provide insight into role of TGA factors in triggering SAR
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 16824183
!dataset_platform = GPL198
!dataset_platform_organism = Arabidopsis thaliana
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 22810
!dataset_sample_organism = Arabidopsis thaliana
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 6
!dataset_value_type = transformed count
!dataset_reference_series = GSE3984
!dataset_order = none
!dataset_update_date = Mar 23 2007
^SUBSET = GDS2207_1
!subset_dataset_id = GDS2207
!subset_description = control
!subset_sample_id = GSM90867,GSM90868,GSM90869
!subset_type = agent
^SUBSET = GDS2207_2
!subset_dataset_id = GDS2207
!subset_description = salicylic acid
!subset_sample_id = GSM90870,GSM90871,GSM90872
!subset_type = agent
^DATASET = GDS2207
!ID_REF = Platform reference identifier
!IDENTIFIER = identifier
!GSM90867 = Value for GSM90867: 2-hour mock-treated leaf material biological replicate 1; src: leaf tissue of 3-4 week old plants, treated with 0.01% Silwet 2 hours before harvest
!GSM90868 = Value for GSM90868: 2-hour mock-treated leaf material biological replicate 2; src: leaf tissue of 3-4 week old plants, treated with 0.01% Silwet 2 hours before harvest
!GSM90869 = Value for GSM90869: 2-hour mock-treated leaf material biological replicate 3; src: leaf tissue of 3- to 4-week old plants, treated with 0.01% Silwet 2 hours before harvest
!GSM90870 = Value for GSM90870: leaf material harvested 2 hours after spraying of 1 mM salicylic acid biological replicate 1; src: leaf tissue of 3- to 4-week old plants, sprayed with 1 mM SA and 0.01% Silwet 2 hours before harvest
!GSM90871 = Value for GSM90871: leaf material harvested 2 hours after spraying of 1 mM salicylic acid biological replicate 2; src: leaf tissue of 3- to 4-week old plants, sprayed with 1 mM SA and 0.01% Silwet 2 hours before harvest
!GSM90872 = Value for GSM90872: leaf material harvested 2 hours after spraying of 1 mM salicylic acid biological replicate 3; src: leaf tissue of 3- to 4-week old plants, sprayed with 1 mM SA and 0.01% 
ID_REF	IDENTIFIER	GSM90867	GSM90868	GSM90869	GSM90870	GSM90871	GSM90872
244901_at	orf25	6.654	7.05434	6.80613	6.82925	7.0277	7.34429
244902_at	nad4L	5.28858	6.66294	6.26774	5.78153	6.03939	6.84894
244903_at	ArthMp059	6.40003	7.27573	7.28997	6.682	7.00093	7.48229
244904_at	ArthMp060	6.08998	6.44187	6.63831	5.96996	6.63343	6.73362
244905_at	ArthMp061	6.18786	6.27292	6.51737	6.59901	6.20906	6.41522
244906_at	ArthMp062	7.4624	7.82209	7.85299	7.32941	7.6635	8.19228
244907_at	ArthMp063	4.88937	4.44609	4.43079	4.53138	4.54005	4.63784
244908_at	ArthMp064	4.53205	4.61742	4.70587	4.56073	4.50453	4.58677
244909_at	ArthMp066	5.61972	5.58157	5.6909	5.76069	5.47431	5.83219
244910_s_at	ArthMp067	4.48453	4.68194	4.47851	4.42748	4.34574	4.56615
244911_at	ArthMp071	3.82361	3.85173	3.85365	3.78827	3.71624	3.69496
244912_at	ccb382	7.54146	8.07102	8.16524	7.55579	7.8934	8.18679
244913_at	ArthMp073	6.5924	6.75304	6.8604	6.78594	6.66431	6.77815
244914_at	ArthMp074	3.85338	3.90398	3.9291	3.88758	3.84664	3.87014
244915_s_at	ArthMp075	4.81745	5.22651	5.14893	5.2924	5.17806	5.17778
244916_at	ArthMp077	5.39959	5.3031	5.257	5.19017	5.34112	5.33592
244917_at	ArthMp076	4.5638	4.7127	4.77004	4.6744	4.70175	4.72099
244918_at	ArthMp078	4.63368	4.67838	4.5992	4.68483	4.6262	4.64724
244919_at	ccb203	5.4478	5.62258	5.56141	5.55784	5.66166	5.61253
244920_s_at	ArthMp086	6.80493	7.17791	7.21442	6.82133	7.07755	7.57941
244921_s_at	ArthMp087	6.01018	6.58269	6.63585	6.32802	6.78632	7.02222
244922_s_at	AT2G07674	5.11779	5.26392	5.48644	5.16314	5.28655	5.6513
244923_s_at	ArthMp089	7.20058	8.00385	7.70841	7.36017	7.85637	7.84794
244924_at	ArthMp091	5.73836	6.01851	6.07015	5.72664	5.91959	5.87043
244925_at	nad7	4.85931	5.44409	5.19812	5.12491	5.27697	5.14949
244926_s_at	matR	5.56322	5.74512	6.10988	5.46627	6.01688	6.3702
244927_at	ArthMp046	7.06214	7.219	7.35134	7.20359	7.15739	7.23313
244928_s_at	orfX	7.04946	7.3415	7.34459	7.1817	7.26502	7.32195
244929_at	nad4	6.52115	8.02239	7.52031	6.65131	7.61408	7.50225
244930_at	ArthMp053	3.71308	3.79457	3.78091	3.79809	3.77916	3.81531
244931_at	ArthMp056	4.96798	4.62779	5.07257	4.97204	4.72902	4.9945
244932_at	psaC	4.46359	5.29202	6.11649	4.34333	5.35282	6.31637
244933_at	ndhE	5.10704	6.4437	6.42518	5.35115	6.14088	6.82574
244934_at	ndhG	5.68924	6.72076	6.82273	5.4309	6.69989	7.17023
244935_at	ndhI	11.0187	13.0876	12.7969	11.2285	12.9425	12.8705
244936_at	ndhA	8.90051	11.89	11.3921	8.8976	11.7086	11.5741
244937_at	ndhH	4.98718	8.04433	7.9628	4.9479	7.32882	8.18303
244938_at	rps15	6.22969	6.70241	6.81527	6.1775	6.54066	6.83485
244939_at	rps12	6.50839	8.36145	8.38058	6.57356	7.71936	8.38421
244940_at	rps12	9.08786	10.8306	10.8886	9.18472	10.3988	10.844
244941_at	ArthMp002	5.69032	5.56616	5.72394	5.81848	5.63201	5.75038
244942_at	ArthMp005	5.74919	5.61187	5.8636	5.70754	5.75356	5.67657
244943_at	nad9	6.83367	7.18409	6.86129	7.28361	6.99841	7.3359
244944_s_at	rps3	6.36837	7.43032	6.82608	6.52067	7.15209	7.51052
244945_at	ccb206	6.79388	6.8372	6.94607	6.73251	6.93222	7.08834
244946_at	orf143	5.44632	5.36176	5.67075	5.84963	5.74364	5.6787
244947_at	ArthMp012	4.88849	5.09528	5.32675	5.12669	4.95667	5.10239
244948_at	ArthMp013	4.384	4.33555	4.5445	4.37106	4.46988	4.59036
244949_at	ArthMp014	5.7216	5.73186	5.70866	5.75038	5.87222	5.9646
244950_at	cox2	5.42462	6.70118	6.8005	5.67975	6.65803	7.26694
244951_s_at	ccb452	7.74869	7.84609	7.88023	7.79733	7.86794	8.31919
244952_at	ArthMp023	5.52884	5.55299	5.61058	5.60294	5.67753	5.46926
244953_s_at	nad6	5.2823	5.39211	5.48517	5.5205	5.53838	6.06721
244954_s_at	AT2G07732	3.80705	3.87064	3.76833	3.72299	3.70565	3.79731
244955_at	ArthMp030	5.02269	4.85341	5.309	5.13248	5.17698	5.20471
244956_s_at	ArthMp029	5.24679	5.32387	5.3389	5.30593	5.40998	5.32595
244957_at	ArthMp034	4.90985	5.12517	5.21214	5.11846	4.99002	5.31269
244958_at	ArthMp038	5.75821	5.93385	5.77812	5.89897	5.80676	6.14534
244959_s_at	ArthMp042	5.41215	5.70268	5.61358	5.39011	5.6641	5.919
244960_at	rpl32	9.9395	11.4769	11.0226	9.98096	11.3766	10.8117
244961_at	ccsA	9.33635	11.659	11.808	9.5426	11.6537	11.8399
244962_at	ndhD	6.32685	8.01539	8.20454	6.23401	7.81139	8.58128
244963_at	psbF	10.4939	13.1663	13.0283	10.5397	13.152	12.9541
244964_at	psbE	9.3283	12.6633	12.7148	9.41855	12.7017	12.6781
244965_at	petL	7.2882	9.66992	9.8706	8.01557	9.50762	9.90637
244966_at	petG	4.69883	7.60188	7.57429	4.5064	7.11305	7.89976
244967_at	psaJ	10.9625	11.6752	11.5795	10.881	11.814	11.8332
244968_at	rpl33	9.82228	11.7348	11.2084	9.33216	11.6133	11.4736
244969_at	rps18	7.84587	10.1433	9.5625	7.77985	10.1019	9.9167
244970_at	rpl20	6.12856	6.93115	7.04937	6.24095	6.92223	7.56525
244971_at	clpP	8.79688	12.0969	12.3547	9.0066	12.0244	12.286
244972_at	psbB	6.13022	9.86235	10.3629	6.01264	9.53013	10.974
244973_at	psbT	6.773	9.46416	9.63208	6.57848	9.37882	10.2509
244974_at	psbN	7.24635	8.92491	8.94293	7.75716	8.56852	9.07333
244975_at	psbH	8.95085	12.0437	11.788	8.85338	11.8931	12.0014
244976_at	petB	10.6471	13.3733	13.2354	10.6793	13.3613	13.1049
244977_at	petD	5.5938	6.27997	5.80444	5.58985	5.99453	6.13198
244978_at	rpoA	12.0268	12.3648	12.6382	12.2417	12.7096	12.4035
244979_at	rps11	11.995	13.1	13.063	12.1179	13.1185	12.8761
244980_at	rpl36	10.2633	11.9924	11.8428	10.3922	12.1008	11.9828
244981_at	rps8	8.89858	11.4997	11.2615	9.03113	11.5462	11.265
244982_at	rpl14	8.12736	9.66856	9.60257	8.22777	9.57035	9.98917
244983_at	rpl16	8.43567	10.8926	11.431	8.68667	11.0948	11.3629
244984_at	rps3	10.8163	11.85	11.4299	10.9197	11.8413	11.5668
